filename	before_chars	after_chars
2025-10-23_remarks_in_a_roundtable_discussion_with_the_homeland_security_task_force_and_an_exchange_with_reporters.txt	81106	51362
2025-10-24_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_ramstein_air_base_germany.txt	17042	11612
2025-10-24_remarks_in_an_exchange_with_reporters_prior_to_departure_for_ramstein_miesenbach_germany.txt	7736	4520
2025-10-25_remarks_and_an_exchange_with_reporters_at_al_udeid_air_base_in_al_rayyan_qatar.txt	7128	5176
2025-10-25_remarks_prior_to_a_meeting_with_amir_tamim_bin_hamad_al_thani_and_prime_minister_muhammad_bin_abd_al_rahman_al_thani_of_.txt	1987	1602
2025-10-26_remarks_at_the_association_of_southeast_asian_nations_leaders_summit_in_kuala_lumpur_malaysia.txt	5935	5673
2025-10-26_remarks_during_a_signing_ceremony_between_prime_minister_hun_manet_of_cambodia_and_prime_minister_anutin_charnvirakul_of.txt	20666	16040
2025-10-26_remarks_during_a_signing_ceremony_with_prime_minister_anwar_ibrahim_of_malaysia_in_kuala_lumpur_malaysia.txt	4416	2369
2025-10-27_remarks_in_an_exchange_with_reporters_aboard_force_one_en_route_to_tokyo_japan.txt	40883	23045
2025-10-27_remarks_prior_to_a_meeting_with_president_luiz_in_cio_lula_da_silva_of_brazil_and_an_exchange_with_reporters_in_kuala_lu.txt	9531	5960
2025-10-28_remarks_at_a_dinner_with_business_leaders_in_tokyo_japan.txt	38051	27639
2025-10-28_remarks_in_an_exchange_with_reporters_at_a_meeting_with_families_of_japanese_abductees_by_north_korea_in_tokyo_japan.txt	2671	1765
2025-10-28_remarks_prior_to_a_dinner_with_business_leaders_in_tokyo_japan.txt	1805	1286
2025-10-28_remarks_prior_to_a_meeting_with_prime_minister_sanae_takaichi_of_japan_in_tokyo_japan.txt	5186	4171
2025-10-28_remarks_to_united_states_servicemembers_with_prime_minister_sanae_takaichi_of_japan_in_yokosuko_japan.txt	48561	35391
2025-10-29_remarks_and_an_exchange_with_reporters_aboard_air_force_one_en_route_to_gyeongju_south_korea.txt	25705	21341
2025-10-29_remarks_at_a_high_honor_presentation_with_president_lee_jae_myung_of_south_korea_in_gyeongju_south_korea.txt	2778	2030
2025-10-29_remarks_at_an_asia_pacific_economic_cooperation_ceos_luncheon_in_gyeongju_south_korea.txt	42034	41788
2025-10-29_remarks_in_an_exchange_with_reporters_during_a_photographic_opportunity_at_the_asia_summit_leaders_dinner_in_gyeongju_so.txt	2449	1078
2025-10-29_remarks_prior_to_a_working_lunch_with_president_lee_jae_myung_of_south_korea_in_gyeongju_south_korea.txt	11539	5972
2025-10-29_remarks_with_president_lee_jae_myung_of_south_korea_at_the_asia_summit_leaders_dinner_in_gyeongju_south_korea.txt	5119	4514
2025-10-30_remarks_and_an_exchange_with_reporters_aboard_air_force_one_en_route_to_anchorage_alaska.txt	17659	11343
2025-10-30_remarks_prior_to_a_meeting_with_president_xi_jinping_of_china_in_busan_south_korea.txt	3543	595
2025-10-31_remarks_and_an_exchange_with_reporters_at_joint_base_andrews_maryland.txt	6893	4659
2025-10-31_remarks_and_an_exchange_with_reporters_upon_arrival_in_west_palm_beach_florida.txt	2454	1994
2025-11-02_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_joint_base_andrews_maryland.txt	11127	7552
2025-11-03_remarks_during_a_telerally_for_new_jersey_republican_gubernatorial_candidate_jack_ciattarelli.txt	8763	8491
2025-11-03_remarks_during_telerally_for_virgina_republican_gubernatorial_candidate_winsome_earle_sears_and_attorney_general_candida.txt	8599	8290
2025-11-05_remarks_at_a_breakfast_with_republican_senators.txt	21158	18771
2025-11-05_remarks_at_the_american_business_forum_in_miami_florida.txt	58246	56084
2025-11-06_remarks_at_a_working_dinner_with_leaders_of_central_asian_countries_and_an_exchange_with_reporters.txt	35843	20870
2025-11-06_remarks_on_efforts_to_reduce_prescription_drug_costs_and_an_exchange_with_reporters.txt	60666	40705
2025-11-07_remarks_prior_to_a_working_lunch_with_prime_minister_viktor_orb_n_of_hungary_and_an_exchange_with_reporters.txt	44423	26119
2025-11-09_remarks_at_a_united_states_armed_forces_servicemembers_enlistment_ceremony_during_a_game_between_the_national_football_l.txt	1333	970
2025-11-10_remarks_at_a_swearing_in_ceremony_for_sergio_gor_as_united_states_ambassador_to_india_and_special_envoy_to_south_and_cen.txt	33106	22588
2025-11-11_remarks_at_a_veterans_day_ceremony_in_arlington_virginia.txt	17263	14286
2025-11-12_remarks_on_signing_the_continuing_appropriations_agriculture_legislative_branch_military_construction_and_veterans_affai.txt	10800	10257
2025-11-13_remarks_during_a_telerally_for_tennessee_republican_congressional_candidate_matt_van_epps.txt	6680	6404
2025-11-14_remarks_in_an_exchange_with_reporters_aboard_air_force_one_en_route_to_west_palm_beach_florida.txt	30541	21646
2025-11-16_remarks_and_an_exchange_with_reporters_prior_to_departure_from_west_palm_beach_florida.txt	10675	8257
2025-11-17_remarks_at_mcdonald_s_impact_summit_2025.txt	47117	46697
2025-11-17_remarks_during_a_meeting_with_the_white_house_task_force_on_the_fifa_world_cup_2026_and_an_exchange_with_reporters.txt	42668	25414
2025-11-18_remarks_at_a_dinner_with_crown_prince_muhammad_bin_salman_bin_abd_al_aziz_al_saud_of_saudi_arabia.txt	17633	15597
2025-11-18_remarks_prior_to_a_meeting_with_crown_prince_muhammad_bin_salman_bin_abd_al_aziz_al_saud_of_saudi_arabia_and_an_exchange.txt	47423	36480
2025-11-19_message_on_the_162d_anniversary_of_the_gettysburg_address.txt	3247	3054
2025-11-19_remarks_at_the_united_states_saudi_investment_forum.txt	57503	56484
2025-11-21_remarks_during_a_meeting_with_mayor_elect_zohran_k_mamdani_of_new_york_city_and_an_exchange_with_reporters.txt	38466	28444
2025-11-22_remarks_and_an_exchange_with_reporters_prior_to_departure_for_joint_base_andrews_maryland.txt	4343	2108
2025-11-25_remarks_at_the_thanksgiving_turkey_presentation_ceremony.txt	17490	16742
